x,y
"커버력,좋다,사다,용량,넘,적다,사용,전,커버력,확인,안됨요",용량
"색,데일리,쓰다,짱,좋다,블로그,보고,삿는데,가루,날림,심하다,밧,전,없다,손,쓰다,좋다,브러쉬,쓰다,가루,날림,없다,허쉬러스트,기대,햇는데,반짝거리다,영롱하다,이다,대신,어둡다,자연스럽다,애굣살,많다,보이다,느낌,잇다,소바,발색,쨍하다,첨에멋도,모르다,손,처발처발햇,진하다,이쁘다",색상
"향,좋다,바르다,촉촉하다,안색,맑다,좋다,샘플,구성,좋다",향기
"향,달다,하다,색,연하다,좋다,입술,색,있다,연하다,색,고르다",향기
"분홍,수분,크림,쓰다,미샤,쿠폰,주다,구매하다,수분,원하다,유분기,있다,같다,용기,크다,비하다,용량,적다,가격,저렴하다,아니다",용량
"가격,저렴하다,배송,빠르다,젛네요,다음,규매할,같다",가격
"색상,맘,들다,머리색,맞다,붉은기,없다,브라운,맘,들다,가격,비하다,용량,맘,들다,받다,용량,보다,실망하다,제품,만족",용량
"용량,크다,할인,받다,넘좋으네요",용량
"도전,안하다,편,오리진스,밤,보습력,좋다,쓰다,향,지속력,좋다,오후,상큼하다,느낌",향기
"생각,어둡다,발림성,좋다,모공,커버,등,지성,피부,지속력,떨어지다,자연스럽다",감촉
"흡수,빠라,넘,좋다",감촉
"제품,알다,뒤,하다,쓰다,같다,닦토,적합하다,시루콧토,화장솜하다,궁합,괜찮다,가격,착하다,사다,때,통,기본,사다,배송,릅니다",가격
"기획,세트,저렴하다,살다,같다,향,괜찮다,끈적임,없,좋다,민감하다,조금,못쓰다,트러블,올라오다,편,쓰다,좋다,구매하다,예정,비싸다,하다,양도,많다,유명하다,제품,긍정적",용량
"부드럽다,발리다,끈적이다,흡수,되다,여름,쓰다,좋다,같다",감촉
"촉촉하다,좋다",감촉
"작다,귀엽다,색,다양하다,좋다",색상
"양,작다,바르다,따갑다,택배,회사,바꾸다,겠어요,발송하다,한참,왓네요",용량
"느낌,촉촉하다,오렌지색,과하다,바르다,정말,좋다",색상
"디자인,이뿌다,뚜껑,기가,막히다,첨,열다,막히다,줄,위생,상,괸찬,은거,같다,바르다,촉촉하다,두들기다,흡수잘되다,쬐금끈적,한데,네이처꺼,마르다,후,김,없다,요길,갈다,탓어요,좋다,제품,감사하다",디자인
"쓰다,양,많다,솜,묻히다,얼굴,닦다,좋다",용량
"가격,저렴하다,좋다,품질,디자인,예쁘다,한데,제,그렇다,뚜껑,헐렁하다",디자인
"기존,계속하다,사용하다,제품,재구입하다,오프라인,구입하다,비싸다,저렴하다,구입하다,만족하다,사용하다,쓰다,구입하다",가격
"바르다,편하다,색깔,예쁘다",색상
"오늘,하루,쓰다,냄새,그닥,좋다,효과,좋다,되다,효과,기대하다",향기
"라네즈,워터,뱅크,에센스,디자인,구성,품질,좋다",디자인
"구성,좋다,구매하다,다르다,데,저렴하다,용량,구성,좋다,배송,보통",용량
"배송,빠르다,샘플,주다,용량,적,쓰다",용량
"배송,생각,빠르다,저렴하다,사다,좋다",가격
"색,예쁘다,저렴하다,구입하다",색상
"하늘,연두,꿀,조합,완전,좋다,아침,얼굴,기지도,않다,좁쌀,없어지다,하늘,연두,꿀,조합,완전,좋다,아침,얼굴,기지도,않다,좁쌀,없어지다,마켓,안드로이드,앱,작성",색상
"색이,이쁘다",색상
"상콤한,향,좋다",향기
"예쁘다,하,가격,사악하다,놈",가격
"쓰다,제조일,지나다,했지,싸다,사서,만족하다",가격
"향,좋다,겨울엥",향기
"좋다,쓰다,구입하다,괜찮다,디자인,깔끔하다,배송,빠르다",디자인
"저렴하다,사다,색,이쁘다,지속력,꽝",가격
"가격대비,용량,작다,샘플",용량
"디자인,예쁘다,솔,부드럽다,그려지다,중간,양,조절하다,수도,있다,뭉치다,그려지다",디자인
"모이스쳐,좋다,하다,소주,스킨,필요하다,같다,구매",감촉
"색,마음,들다,발림,좋다,마음,들다,팔다",색상
"딸래미,쓰다,쓰다,색상,넘,이쁘다,구매하다,어,대,대쓰기에넘이쁜색",색상
"페리페라,립스틱,평소,좋아하다,패키지,디자인,재밋고,앙증맞다,개인적,방망이,디자인,립스틱,싫어하다,처음,바르,느낌,물바른듯,시원하다,스며들다,느낌,녹다,발리다,마르다,꾸덕,하다,변하다,보송보송하다,가격,저렴하다,쓰다,잃어버리다,깨지다,부담,없다,같다,요즘,국산,립스틱,질,좋다",디자인
"색상두,좋다,촉감두,좋다,가격,좋으네요,색상두,좋다,촉감두,좋다,가격,좋으네요,색상두,좋다,촉감두,좋다,가격,좋으네요,마켓,안드로이드,앱,작성",감촉
"저렴히,구매하다,배송,빠르다,좋다,사용감,좋다,맘,들다",감촉
"쓰다,파우더,가격,오르다,향도,좋다,맘,들다,번창하다",향기
"촉촉하다,향도,은은하다",향기
